ticker,name,total_mentions,positive_mentions,negative_mentions,neutral_mentions,sentiment_score,category,collected_at,date_range
TSLA,"Tesla, Inc.",182,61,63,58,-0.016,Consumer Cyclical,2025-10-28 13:52:41.843608,last7days
AMZN,"Amazon.com, Inc.",141,66,44,31,0.234,Consumer Cyclical,2025-10-28 13:52:41.843627,last7days
GLD,SPDR Gold Shares,127,41,40,46,0.012,Other,2025-10-28 13:52:42.475409,last7days
GLDM,SPDR Gold MiniShares,122,38,39,45,-0.012,Other,2025-10-28 13:52:42.838392,last7days
IAU,iShares Gold Trust,121,38,39,44,-0.012,Other,2025-10-28 13:52:43.165051,last7days
AAAU,Perth Mint Physical Gold ETF,121,38,40,43,-0.025,Other,2025-10-28 13:52:43.536428,last7days
DGL,Invesco DB Gold,120,38,39,43,-0.013,Other,2025-10-28 13:52:43.885919,last7days
UGL,ProShares Ultra Gold,120,38,39,43,-0.013,Other,2025-10-28 13:52:44.217493,last7days
OUNZ,VanEck Merk Gold Trust,120,38,39,43,-0.013,Other,2025-10-28 13:52:44.598763,last7days
GOOGL,Alphabet Inc.,113,81,8,24,0.969,Communication Services,2025-10-28 13:52:44.910521,last7days
SGOL,ETFS Physical Swiss Gold,88,26,30,32,-0.068,Other,2025-10-28 13:52:45.266536,last7days
DBP,Invesco DB Precious Metals,87,26,29,32,-0.052,Other,2025-10-28 13:52:45.827286,last7days
BAR,GraniteShares Gold Trust,87,26,29,32,-0.052,Other,2025-10-28 13:52:46.124915,last7days
NFLX,"Netflix, Inc.",85,30,36,19,-0.106,Communication Services,2025-10-28 13:52:46.648047,last7days
XOP,SPDR S&P Oil & Gas Explor & Prodtn ETF,84,30,17,37,0.232,Other,2025-10-28 13:52:47.057150,last7days
USO,United States Oil,84,32,16,36,0.286,Other,2025-10-28 13:52:47.378000,last7days
OIH,VanEck Vectors Oil Services ETF,84,30,17,37,0.232,Other,2025-10-28 13:52:47.944562,last7days
META,"Meta Platforms, Inc.",84,39,26,19,0.232,Communication Services,2025-10-28 13:52:48.328093,last7days
BNO,United States Brent Oil,83,31,16,36,0.271,Other,2025-10-28 13:52:48.678646,last7days
INTC,Intel Corporation,83,55,7,21,0.867,Technology,2025-10-28 13:52:49.055026,last7days
