ticker,title,description,source,published_at,url,collected_at
AAPL,Apple Inc. $AAPL is OVERSEA CHINESE BANKING Corp Ltd’s 6th Largest Position,"OVERSEA CHINESE BANKING Corp Ltd boosted its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 630.1% in the first quarter, HoldingsChannel.com reports. The institutional investor owned 3,428,207 shares of the iPhone maker’s stock after purchasing an addi…",ETF Daily News,2025-08-30T09:18:59Z,https://www.etfdailynews.com/2025/08/30/apple-inc-aapl-is-oversea-chinese-banking-corp-ltds-6th-largest-position/,2025-08-31 18:32:31.242436
AAPL,"Sumitomo Life Insurance Co. Acquires 15,075 Shares of Apple Inc. $AAPL","Sumitomo Life Insurance Co. lifted its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 5.5% during the 1st quarter, HoldingsChannel.com reports. The fund owned 288,715 shares of the iPhone maker’s stock after buying an additional 15,075 shares…",ETF Daily News,2025-08-30T09:18:59Z,https://www.etfdailynews.com/2025/08/30/sumitomo-life-insurance-co-acquires-15075-shares-of-apple-inc-aapl/,2025-08-31 18:32:31.242459
AAPL,Apple Inc. $AAPL Shares Purchased by SBI Securities Co. Ltd.,"SBI Securities Co. Ltd. grew its stake in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.2% in the first quarter, HoldingsChannel.com reports. The firm owned 501,294 shares of the iPhone maker’s stock after purchasing an additional 904 shares during th…",ETF Daily News,2025-08-30T09:18:55Z,https://www.etfdailynews.com/2025/08/30/apple-inc-aapl-shares-purchased-by-sbi-securities-co-ltd/,2025-08-31 18:32:31.242463
AAPL,Apple Inc. $AAPL Holdings Reduced by Massachusetts Financial Services Co. MA,"Massachusetts Financial Services Co. MA decreased its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 2.6% in the 1st quarter, Holdings Channel.com reports. The fund owned 25,966,650 shares of the iPhone maker’s stock after selling 687,208 sha…",ETF Daily News,2025-08-30T09:18:55Z,https://www.etfdailynews.com/2025/08/30/apple-inc-aapl-holdings-reduced-by-massachusetts-financial-services-co-ma/,2025-08-31 18:32:31.242465
AAPL,Dakota Wealth Management Decreases Position in Apple Inc. $AAPL,"Dakota Wealth Management trimmed its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.3% during the 1st quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission. The fund owned 668,030 shares of the iPhon…",ETF Daily News,2025-08-30T09:18:50Z,https://www.etfdailynews.com/2025/08/30/dakota-wealth-management-decreases-position-in-apple-inc-aapl/,2025-08-31 18:32:31.242468
AAPL,Firestone Capital Management Grows Stake in Apple Inc. $AAPL,"Firestone Capital Management grew its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.6% in the 1st quarter, HoldingsChannel reports. The institutional investor owned 17,252 shares of the iPhone maker’s stock after acquiring an additional 103 shares d…",ETF Daily News,2025-08-30T09:18:49Z,https://www.etfdailynews.com/2025/08/30/firestone-capital-management-grows-stake-in-apple-inc-aapl/,2025-08-31 18:32:31.242471
AAPL,Show HN: Datacmd – Terminal-native dashboards from CSV/API in one command,"Hi HN,I built Datacmd to eliminate bloated dashboards and browser UIs. It turns any CSV, JSON, API feed into live, terminal-native dashboards with one command. Fast. Minimal. Developer-centric. AND IT'S OPEN SOURCE
https://github.com/VincenzoManto/datacmdWhat…",Github.com,2025-08-30T08:46:27Z,https://github.com/VincenzoManto/Datacmd,2025-08-31 18:32:31.242475
AAPL,Pioneer Trust Bank N A OR Cuts Holdings in Apple Inc. $AAPL,"Pioneer Trust Bank N A OR lowered its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 1.7% in the 1st quarter, HoldingsChannel.com reports. The institutional investor owned 117,487 shares of the iPhone maker’s stock after selling 1,979 shares …",ETF Daily News,2025-08-30T07:44:59Z,https://www.etfdailynews.com/2025/08/30/pioneer-trust-bank-n-a-or-cuts-holdings-in-apple-inc-aapl/,2025-08-31 18:32:31.242478
AAPL,Fortress Financial Solutions LLC Increases Stake in Apple Inc. $AAPL,"Fortress Financial Solutions LLC increased its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 4.3% in the 1st quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund owned 17,422 shares of the iP…",ETF Daily News,2025-08-30T07:44:54Z,https://www.etfdailynews.com/2025/08/30/fortress-financial-solutions-llc-increases-stake-in-apple-inc-aapl/,2025-08-31 18:32:31.242481
AAPL,"Cohen Capital Management Inc. Sells 2,100 Shares of Apple Inc. $AAPL","Cohen Capital Management Inc. cut its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 16.1% during the 1st quarter, HoldingsChannel.com reports. The institutional investor owned 10,905 shares of the iPhone maker’s stock after selling 2,100 shares during…",ETF Daily News,2025-08-30T07:44:50Z,https://www.etfdailynews.com/2025/08/30/cohen-capital-management-inc-sells-2100-shares-of-apple-inc-aapl/,2025-08-31 18:32:31.242484
