ticker,lag_period,correlation,correlation_abs,p_value,significant,strength,direction,valid_data_points,avg_sentiment,sentiment_range,avg_daily_return,return_volatility,price_change_pct
AAPL,same_day,0.34329839669808027,0.34329839669808027,0.00012372859236898327,True,Weak,Positive,120,0.035228970725502864,0.7972077922077921,0.21902600920586382,1.4555047712451874,28.410666735852047
AAPL,1_day_ahead,0.061374636563239354,0.061374636563239354,0.5054645020372354,False,Very Weak,Positive,120,0.035228970725502864,0.7972077922077921,0.21902600920586382,1.4555047712451874,28.410666735852047
AAPL,2_day_ahead,-0.03617188443414519,0.03617188443414519,0.6961287648947946,False,Very Weak,Negative,119,0.035228970725502864,0.7972077922077921,0.21902600920586382,1.4555047712451874,28.410666735852047
AAPL,3_day_ahead,0.04662102978017674,0.04662102978017674,0.6161489947295713,False,Very Weak,Positive,118,0.035228970725502864,0.7972077922077921,0.21902600920586382,1.4555047712451874,28.410666735852047
AAPL,5_day_ahead,0.11764071046657107,0.11764071046657107,0.20850755360173776,False,Very Weak,Positive,116,0.035228970725502864,0.7972077922077921,0.21902600920586382,1.4555047712451874,28.410666735852047
JPM,same_day,0.21488796846770067,0.21488796846770067,0.000765547056530449,True,Weak,Positive,242,0.08971217634256574,1.385,0.13596340843039514,1.7116775144994483,40.80319251273667
JPM,1_day_ahead,0.10161944242877965,0.10161944242877965,0.11485838151780856,False,Very Weak,Positive,242,0.08971217634256574,1.385,0.13596340843039514,1.7116775144994483,40.80319251273667
JPM,2_day_ahead,0.01721000591305172,0.01721000591305172,0.7903918833727391,False,Very Weak,Positive,241,0.08971217634256574,1.385,0.13596340843039514,1.7116775144994483,40.80319251273667
JPM,3_day_ahead,-0.08120279079682584,0.08120279079682584,0.2100268905872574,False,Very Weak,Negative,240,0.08971217634256574,1.385,0.13596340843039514,1.7116775144994483,40.80319251273667
JPM,5_day_ahead,0.018727028940523232,0.018727028940523232,0.7737978741429208,False,Very Weak,Positive,238,0.08971217634256574,1.385,0.13596340843039514,1.7116775144994483,40.80319251273667
UNH,same_day,0.2759728614781523,0.2759728614781523,2.372861294247263e-05,True,Weak,Positive,228,-0.027133660036116367,1.27,-0.18298263694286448,3.1630598480289627,-34.75261767823848
UNH,1_day_ahead,0.05683486985105089,0.05683486985105089,0.3930155098868437,False,Very Weak,Positive,228,-0.027133660036116367,1.27,-0.18298263694286448,3.1630598480289627,-34.75261767823848
UNH,2_day_ahead,0.06506865142806004,0.06506865142806004,0.32907406802053385,False,Very Weak,Positive,227,-0.027133660036116367,1.27,-0.18298263694286448,3.1630598480289627,-34.75261767823848
UNH,3_day_ahead,0.04451065753645618,0.04451065753645618,0.5055635528759463,False,Very Weak,Positive,226,-0.027133660036116367,1.27,-0.18298263694286448,3.1630598480289627,-34.75261767823848
UNH,5_day_ahead,0.09294397218714573,0.09294397218714573,0.16566204492203546,False,Very Weak,Positive,224,-0.027133660036116367,1.27,-0.18298263694286448,3.1630598480289627,-34.75261767823848
AMZN,same_day,0.3779628751593433,0.3779628751593433,1.281020520267816e-05,True,Weak,Positive,126,0.1263107695467188,0.7038095238095239,0.1419669861864606,1.800620897989472,17.171400728779687
AMZN,1_day_ahead,-0.03166191970379755,0.03166191970379755,0.7248754605540165,False,Very Weak,Negative,126,0.1263107695467188,0.7038095238095239,0.1419669861864606,1.800620897989472,17.171400728779687
AMZN,2_day_ahead,-0.07473370886500338,0.07473370886500338,0.4074931128908489,False,Very Weak,Negative,125,0.1263107695467188,0.7038095238095239,0.1419669861864606,1.800620897989472,17.171400728779687
AMZN,3_day_ahead,-0.12329475282773893,0.12329475282773893,0.17248613611933622,False,Very Weak,Negative,124,0.1263107695467188,0.7038095238095239,0.1419669861864606,1.800620897989472,17.171400728779687
AMZN,5_day_ahead,-0.004217225201142146,0.004217225201142146,0.963229390850572,False,Very Weak,Negative,122,0.1263107695467188,0.7038095238095239,0.1419669861864606,1.800620897989472,17.171400728779687
WMT,same_day,0.18133979770771005,0.18133979770771005,0.004092583102294192,True,Very Weak,Positive,249,0.06346441314784507,1.155,0.12191602228662632,1.5400899596283886,29.502944950845965
WMT,1_day_ahead,0.06443203865834422,0.06443203865834422,0.3112239248189454,False,Very Weak,Positive,249,0.06346441314784507,1.155,0.12191602228662632,1.5400899596283886,29.502944950845965
WMT,2_day_ahead,-0.0002294340624331842,0.0002294340624331842,0.9971317089001294,False,Very Weak,Negative,248,0.06346441314784507,1.155,0.12191602228662632,1.5400899596283886,29.502944950845965
WMT,3_day_ahead,-0.04204122489568802,0.04204122489568802,0.5107508634772855,False,Very Weak,Negative,247,0.06346441314784507,1.155,0.12191602228662632,1.5400899596283886,29.502944950845965
WMT,5_day_ahead,0.07333040295058503,0.07333040295058503,0.2528424315192848,False,Very Weak,Positive,245,0.06346441314784507,1.155,0.12191602228662632,1.5400899596283886,29.502944950845965
T,same_day,0.03404413857048962,0.03404413857048962,0.6212515412416689,False,Very Weak,Positive,213,0.12324743195918782,1.42,0.04658192414381251,1.4956127123880412,14.653507808125005
T,1_day_ahead,-0.01658705691412167,0.01658705691412167,0.8098092054789345,False,Very Weak,Negative,213,0.12324743195918782,1.42,0.04658192414381251,1.4956127123880412,14.653507808125005
T,2_day_ahead,0.009872537893742747,0.009872537893742747,0.8863692106408001,False,Very Weak,Positive,212,0.12324743195918782,1.42,0.04658192414381251,1.4956127123880412,14.653507808125005
T,3_day_ahead,-0.0030703439586841456,0.0030703439586841456,0.9646377803357771,False,Very Weak,Negative,211,0.12324743195918782,1.42,0.04658192414381251,1.4956127123880412,14.653507808125005
T,5_day_ahead,-0.09026465357285947,0.09026465357285947,0.19367993571333458,False,Very Weak,Negative,209,0.12324743195918782,1.42,0.04658192414381251,1.4956127123880412,14.653507808125005
BA,same_day,0.20457857997454806,0.20457857997454806,0.001508230494959109,True,Weak,Positive,238,-0.0292221456986069,1.2325,0.16256363588488337,2.3573997795505846,38.427643479747765
BA,1_day_ahead,0.08109358083104347,0.08109358083104347,0.21257419567529467,False,Very Weak,Positive,238,-0.0292221456986069,1.2325,0.16256363588488337,2.3573997795505846,38.427643479747765
BA,2_day_ahead,-0.07162461531605686,0.07162461531605686,0.27210484084300923,False,Very Weak,Negative,237,-0.0292221456986069,1.2325,0.16256363588488337,2.3573997795505846,38.427643479747765
BA,3_day_ahead,-0.11187751742706498,0.11187751742706498,0.08635302024454354,False,Very Weak,Negative,236,-0.0292221456986069,1.2325,0.16256363588488337,2.3573997795505846,38.427643479747765
BA,5_day_ahead,-0.13267774016175676,0.13267774016175676,0.04259254717824804,True,Very Weak,Negative,234,-0.0292221456986069,1.2325,0.16256363588488337,2.3573997795505846,38.427643479747765
